transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
8708,0,6,7/10/2017,FALSE,Approved,Solex,Road,medium,medium,416.98,312.7350159,42218
16701,0,5034,27/1/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.2999878,35667
17469,0,5034,3/1/2017,FALSE,Approved,OHM Cycles,Road,medium,medium,742.54,667.4000244,33879
2463,2,3500,25/4/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245
6309,69,3500,9/1/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
8416,74,3500,16/2/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,36668
8562,33,3500,8/8/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
14870,22,3500,11/1/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165
19836,40,3500,14/3/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
747,32,3499,21/6/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,40336
2433,44,3499,25/2/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,37668
2794,62,3499,12/1/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,36146
3902,1,3499,22/6/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,41245
7386,57,3499,1/3/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,34143
12434,36,3499,25/4/2017,FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,38750
18403,67,3499,9/11/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38859
1244,50,3498,21/2/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668
2692,91,3498,25/8/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
5028,83,3498,25/7/2017,TRUE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533
13469,12,3498,3/2/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
15666,99,3498,7/6/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1227.34,$770.89,34556
17866,98,3498,10/2/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002
6926,1,3497,8/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
8276,18,3497,1/9/2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,35160
10493,78,3497,12/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
3479,73,3496,18/4/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,41922
9232,29,3496,15/4/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,$407.54,34527
9769,5,3496,7/3/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,37659
18797,16,3496,2/4/2017,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",40303
4395,32,3495,12/12/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
4771,0,3495,17/12/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
10794,25,3495,21/3/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",41009
14985,4,3495,11/2/2017,FALSE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,36146
18035,0,3495,13/1/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647
18178,67,3495,24/1/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,35160
19948,33,3495,28/2/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",39526
4369,82,3494,26/12/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404
9577,0,3494,8/9/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
15474,41,3494,24/7/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693
18470,38,3494,8/4/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41167
619,12,3493,16/3/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193
2020,25,3493,28/9/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",41009
5090,76,3493,29/6/2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539
9499,33,3493,28/7/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",39526
